label,image_url
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi10_150_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi10_160_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi10_170_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi10_180_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi10_190_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi10_200_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi10_210_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi10_220_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi10_230_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi10_240_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi10_250_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi10_260_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi10_270_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi10_280_face_1.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi10_290_face_1.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi10_300_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi10_310_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi10_320_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi10_330_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi10_340_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi1_100_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi1_10_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi1_140_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi1_150_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi1_160_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi1_170_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi1_180_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi1_190_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi1_200_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi1_20_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi1_210_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi1_220_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi1_230_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi1_240_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi1_30_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi1_40_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi1_50_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi1_530_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi1_540_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi1_550_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi1_560_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi1_60_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi1_70_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi1_80_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi1_90_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_100_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_10_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_110_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_120_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_130_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_140_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_150_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_160_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_170_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_180_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_190_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_200_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_20_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_210_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_220_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_230_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_240_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_250_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_260_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_270_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_280_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_290_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_300_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_30_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_310_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_320_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_330_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_340_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_350_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_360_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_370_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_380_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_390_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_400_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_40_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_410_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_420_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_430_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_440_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_450_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_460_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_470_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_480_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_490_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_500_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_50_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_60_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_70_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_80_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi2_90_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi3_100_face_1.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi3_10_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi3_110_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi3_120_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi3_130_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi3_140_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi3_150_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi3_160_face_1.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi3_170_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi3_180_face_1.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi3_190_face_1.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi3_200_face_0.jpg
DoMixi,C:\DL\NDKM\dataset\DoMixi\DoMixi3_20_face_1.jpg
